Compound,Similarity,Smiles,,,,Smiles
CHEMBL1163202,1, COC1=CC(O)=C(CC=C)C=C1OC,,,,
CHEMBL8225,1, CCOC1=CC(OC)=C(CC(C)N)C=C1OC,,,,
CHEMBL8224,1, CCC1=CC(OC)=C(CC(C)N)C=C1OC,,,,
CHEMBL7911,1, COC(=O)C(C)(C)CCCOC1=CC(=CC(OCCCC(C)(C)C(=O)OC)=C1)C(C)=O,,,,
CHEMBL7885,1, COC(=O)C(C)(C)CCCOC1=CC=CC(OCCCC(C)(C)C(=O)OC)=C1C,,,,
CHEMBL4553152,1, COCCCN(C)S(=O)(=O)C1=CC=C(Br)C=N1,,,,
CHEMBL7849,1, COC(=O)C(C)(C)CCCOC1=CC(F)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL7847,1, COC(=O)C(C)(C)CCCOC1=CC=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL4553716,1, COC1=CC(OC)=C(C(OC)=C1)S(N)(=O)=O,,,,
CHEMBL4553715,1, CC1=CC(CN)=C(C)S1,,,,
CHEMBL8317,1, COC1=CC(CC(C)N)=C(OC)C=C1C(C)(C)C,,,,
CHEMBL7761,1, OC[C@H](NC(=O)C1=C(Br)C=CC=C1)C(O)=O,,,,
CHEMBL7665,1, CC(C)(C)NCC(O)COC(=O)C1=CC(N)=CC=C1,,,,
CHEMBL7664,1, OC(=O)CNC(=O)C1=C(Br)C=CC=C1,,,,
CHEMBL7663,1, CCOC(=O)NCC(C)(C)NCC(O)COC(=O)C1=C(F)C=CC=C1,,,,
CHEMBL1163201,1, CCC1=CC=C(OCC(=O)OC)C(=C1)[N+]([O-])=O,,,,
CHEMBL7930,1, COC(=O)C(C)(C)CCCOC1=CC(C)=C(OCCCC(C)(C)C(=O)OC)C=C1C,,,,
CHEMBL7906,1, COC(=O)C(C)(C)CCCOC1=CC(OC)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL7879,1, COC(=O)C(C)(C)CCCOC1=CC(=C(OCCCC(C)(C)C(=O)OC)C=C1)C(C)(C)C,,,,
CHEMBL8042,1, COC(=O)C(C)(C)CCCOC1=CC(OCCCC(C)(C)C(=O)OC)=CC(C)=C1,,,,
CHEMBL1163193,1, CCOC(=O)\\C=C/SC1=C(C=CC=C1)C(C)C,,,,
CHEMBL4553543,1, CN(C)C(=O)NCC(=O)NCCC1=NC(C)=C(C)S1,,,,
CHEMBL7569,1, COC(=O)C(C)(C)CCCOC1=CC(C=O)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL7548,1, CC(C)(CCOC1=CC(Cl)=C(OCCC(C)(C)C(O)=O)C=C1)C(O)=O,,,,
CHEMBL432,1, NCC(O)C1=CC=C(O)C(O)=C1,,,,
CHEMBL7394,1, COC(=O)C(C)(C)CCCOC1=CC(OCCCC(C)(C)C(=O)OC)=CC=C1,,,,
